title,writer,publication,callno,href
베를린 필하모니 오케스트라,"Haffner, Herbert","서울 :까치글방,2011",784.2092 H138b차,https://library.cau.ac.kr/#/search/detail/6098168
(의대생을 위한) 심장학 =Textbook of cardiology for medical students,전두수,"서울 :대한의학서적,2014",616.12 전두수심,https://library.cau.ac.kr/#/search/detail/6097916
(쓱 보면 싹 이해되는) K-IFRS 중급회계 =Intermediate accounting K-IFRS edition,김성기,"서울 :무역경영사,2013(2015 2쇄)",657.044 김성기k 2013,https://library.cau.ac.kr/#/search/detail/6092181
(쓱 보면 싹 이해되는) K-IFRS 중급회계 =Intermediate accounting K-IFRS edition :연습문제 해답,김성기,"서울 :무역경영사,2013",657.044 김성기k연 2013,https://library.cau.ac.kr/#/search/detail/6092180
BIM 핸드북 :건축주.건축가.엔지니어 그리고 건설인을 위한 BIM 가이드,"Eastman, Chuck","서울 :시공문화사 Spacetime,2014",690.0285 E13b2이,https://library.cau.ac.kr/#/search/detail/6091773
올 어바웃 플라워숍 =All about flower shop :플로리스트 엄지영 & 가드너 강세종 부부의 플라워숍 운영 노하우,강세종,"서울 :북하우스엔,2012(2014 5쇄)",745.92068 강세종올,https://library.cau.ac.kr/#/search/detail/6091770
(내 일상을 꾸며주는) 포토샵 CS6 & CC,우보명,"서울 :한빛미디어,2013",006.6869 우보명포,https://library.cau.ac.kr/#/search/detail/6091765
단속사회 :쉴 새 없이 접속하고 끊임없이 차단한다,엄기호,"파주 :창비,2014(2105 10쇄)",301.0951 엄기호단,https://library.cau.ac.kr/#/search/detail/6091694
윌리엄 포크너 :에밀리에게 바치는 한 송이 장미 외 11편,"Faulkner, William","서울 :현대문학,2013(2014 2쇄)",808.8 세계문단 v.2,https://library.cau.ac.kr/#/search/detail/6091676
"자연미술관을 걷다 :예술과 자연, 건축이 하나된 라인강 미술관 12곳",이은화,"파주 :아트북스,2014",708.94 이은화자,https://library.cau.ac.kr/#/search/detail/6091620
"즐거운 SPSS, 풀리는 통계학",김준우,"서울 :박영사,2012",519.50285 김준우즐2,https://library.cau.ac.kr/#/search/detail/6090659
도시농업,안철환,"파주 :한울 :한울아카데미,2013",301.0951 서울연 v.4,https://library.cau.ac.kr/#/search/detail/6089795
